"Número do Contrato";"Objeto";"Fundamento Legal";"Modalidade Compra";"Situação Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Data Assinatura Contrato";"Data Publicação DOU";"Data Início Vigência";"Data Fim Vigência";"Código Contratado";"Nome Contratado";"Valor Inicial Compra";"Valor Final Compra";"Número Licitação";"Código UG Licitação";"Nome UG Licitação";"Código Modalidade Compra Licitação";"Modalidade Compra Licitação"
"000482025";"Objeto: AQUISIÇÃO DE MICROFONE DIGITAL DESTINADOS À MODERNIZAÇÃO DOS EQUIPAMENTOS DE ÁUDIO E VÍDEO DO AUDITÓRIO DA AGÊNCIA, LOCALIZADO NA CIDADES DE BRASÍLIA - DF";"";"Sem Informação";"Não se aplica";"68000";"Ministério de Portos e Aeroportos";"62201";"Agência Nacional de Aviação Civil";"113214";"AGENCIA NACIONAL DE AVIACAO CIVIL";"30/12/2025";"02/01/2026";"30/12/2025";"30/06/2026";"27975535000134";"VIDEO MAIS COMERCIO E SERVICOS DE AUDIO E VIDEO LTDA";"160400,0000";"160400,0000";"-3";"";"";"";""
"000202025";"Objeto: CONTRATAÇÃO DA FUNDAÇÃO DE APOIO PARA A GESTÃO FINANCEIRA E ADMINISTRATIVA DO PROJETO INSTITUCIONAL PARA O DESENVOLVIMENTO EM PESQUISA E EXTENSÃO AGRÁRIA CAPIXABA COM DIRETRIZES DEFINIDAS POR PARLAMENTAR E PELO IFES, ATRAVÉS DE RECURSOS DO EDITAL 22/2024 - CHAMADA GERAL E P&D, DA EMBRAPA CAFÉ, PARA O PROJETO INTITULADO 'ABORDAGENS METABOLÔMICAS E QUIMIOMÉTRICAS PARA AUTENTICAÇÃO E CONTROLE DE QUALIDADE DE CAFÉS ARÁBICA DO NOROESTE FLUMINENSE E CAPARAÓ'";"";"Sem Informação";"Não se aplica";"26000";"Ministério da Educação";"26406";"Instituto Federal de Educação, Ciência e T";"158425";"INST.FED. ESPIRITO SANTO/CAMPUS ALEGRE";"19/12/2025";"06/01/2026";"19/12/2025";"19/12/2029";"03832178000197";"FUNDACAO DE APOIO AO DESENVOLVIMENTO DA CIENCIA E TECNOLOGIA-FACTO";"523762,0000";"523762,0000";"-3";"";"";"";""
"001362025";"Objeto: O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A EXECUÇÃO DOS SERVIÇOS COMUNS DE ENGENHARIA PARA PAVIMENTAÇÃO COM CAPA ASFÁLTICA EM CONCRETO BETUMINOSO USINADO A QUENTE (CBUQ) EM DIVERSOS MUNÍCIPIOS NA ÁREA DE ATUAÇÃO DO DNOCS (ALAGOAS, BAHIA, CEARÁ, MINAS GERAIS, PARAÍBA, PERNAMBUCO, PIAUÍ, RIO GRANDE DO NORTE E SERGIPE), NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA.";"";"Sem Informação";"Não se aplica";"53000";"Ministério da Integração e do Desenvolvime";"22204";"Departamento Nacional de Obras Contra as Seca";"193002";"DEPARTAMENTO NACIONAL DE OBRAS CONT.AS SECAS";"31/12/2025";"05/01/2026";"31/12/2025";"30/06/2027";"73041188000190";"COMERCIAL E CONSTRUTORA FENIX LTDA";"10505000,0000";"10505000,0000";"-3";"";"";"";""
"000062025";"Objeto: O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE SERVIÇOS COMUNS DE OPERACIONALIZAÇÃO FINANCEIRA PARA TRANSFERÊNCIA DE RECURSOS DO CONTRATANTE, O MINISTÉRIO DO ESPORTE, PARA OS BENEFICIÁRIOS DO PROGRAMA BOLSA ATLETA, A SER REALIZADO DE FORMA MENSAL, NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA.";"";"Sem Informação";"Não se aplica";"51000";"Ministério do Esporte";"51000";"Ministério do Esporte - Unidades com víncul";"180002";"SECRETARIA EXECUTIVA";"31/12/2025";"02/01/2026";"01/01/2026";"31/12/2030";"00360305000104";"CAIXA ECONOMICA FEDERAL";"1000,0000";"1000,0000";"-3";"";"";"";""
"000022026";"Objeto: EXECUÇÃO OPERACIONAL DO GARANTIA-SAFRA, INSTITUÍDO PELA LEI Nº 10.420, DE 10 DE ABRIL DE 2002, ALTERADO PELAS LEIS Nº 10.700, 11.775 E 12.766 DE 09/07/2003, 17/09/2008 E 27/12/2012, RESPECTIVAMENTE, PELA CONTRATADA, MEDIANTE A PRESTAÇÃO DE SERVIÇOS DE ARRECADAÇÃO E GESTÃO FINANCEIRA DOS RECURSOS DO FUNDO DE GARANTIA SAFRA.";"";"Sem Informação";"Não se aplica";"49000";"Ministério do Desenvolvimento Agrário e Agr";"49000";"Ministério do Desenvolvimento Agrário e Agr";"490011";"MIN. DESENV. AGRARIO E AGRICULTURA FAMILIAR";"06/01/2026";"07/01/2026";"06/01/2026";"06/01/2027";"00360305000104";"CAIXA ECONOMICA FEDERAL";"8073304,0400";"8073304,0400";"-3";"";"";"";""
"000012026";"Objeto: PRESTAÇÃO DE SERVIÇOS COM VISTAS À EXECUÇÃO OPERACIONAL DO PROGRAMA GARANTIA SAFRA, INSTITUÍDO PELA LEI Nº 10.420, DE 10 DE ABRIL DE 2002, MEDIANTE A EXECUÇÃO, PELA CONTRATADA, DA MANUTENÇÃO OPERACIONAL DO PROGRAMA, DA LOGÍSTICA DE EMISSÃO E DISTRIBUIÇÃO DE CARTÃO MAGNÉTICO E DO PROCESSO DE PAGAMENTO AOS BENEFICIÁRIOS, SOB AS CONDIÇÕES ESPECIFICADAS NESTE CONTRATO";"";"Sem Informação";"Não se aplica";"49000";"Ministério do Desenvolvimento Agrário e Agr";"49000";"Ministério do Desenvolvimento Agrário e Agr";"490011";"MIN. DESENV. AGRARIO E AGRICULTURA FAMILIAR";"06/01/2026";"07/01/2026";"06/01/2026";"06/01/2027";"00360305000104";"CAIXA ECONOMICA FEDERAL";"7482020,0000";"7482020,0000";"-3";"";"";"";""
"006942025";"Objeto: O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE SERVIÇOS COMUNS ESPECIALIZADOS DE ASSISTÊNCIA TÉCNICA AO FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO E AOS ENTES FEDERATIVOS, SEM DEDICAÇÃO EXCLUSIVA DE MÃO DE OBRA, PARA OPERAÇÕES APOIADAS COM RECURSOS DO FNDE, INCLUINDO A RETOMADA DAS OBRAS DE EDUCAÇÃO PARALISADAS OU INACABADAS NO ÂMBITO DO PACTO NACIONAL PELA RETOMADA DE OBRAS, NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA";"";"Sem Informação";"Não se aplica";"26000";"Ministério da Educação";"26298";"Fundo Nacional de Desenvolvimento da Educaç";"153173";"FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO";"31/12/2025";"06/01/2026";"31/12/2025";"31/12/2030";"00360305000104";"CAIXA ECONOMICA FEDERAL";"87619979,6500";"87619979,6500";"-3";"";"";"";""
"000092025";"Objeto: PRESTAÇÃO DE SERVIÇOS DE APOIO TÉCNICO-OPERACIONAL NO ÂMBITO DOS CONVÊNIOS FIRMADOS POR ESTA SUPERINTENDÊNCIA";"";"Sem Informação";"Não se aplica";"53000";"Ministério da Integração e do Desenvolvime";"53207";"Superintendência de Desenvolvimento do Centr";"533018";"SUPERINT. DO DESENVOLVIMENTO DO CENTRO-OESTE";"31/12/2025";"02/01/2026";"31/12/2025";"31/12/2027";"00360305000104";"CAIXA ECONOMICA FEDERAL";"1058648,0000";"1058648,0000";"-3";"";"";"";""
"000522025";"Objeto: AQUISIÇÃO DE REAGENTES DE GASOMETRIA, SOB FORMA DE COMODATO (COMPLEMENTO) PARA ATENDER ÀS NECESSIDADES DA SUBDIVISÃO DE ANÁLISES CLÍNICAS (SDANC) DO HOSPITAL DE AERONÁUTICA DE MANAUS (HAMN)";"";"Sem Informação";"Não se aplica";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120630";"GRUPAMENTO DE APOIO DE MANAUS";"11/11/2025";"12/01/2026";"11/11/2025";"11/12/2025";"04562591000141";"A.R. RODRIGUEZ & CIA LTDA";"58200,0000";"58200,0000";"900292025";"";"";"";""
"001272025";"Objeto: AQUISIÇÃO DE MATERIAIS PERMANENTES, INCLUINDO A ENTREGA, NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA.";"";"Sem Informação";"Não se aplica";"33000";"Ministério da Previdência Social";"37202";"Instituto Nacional do Seguro Social";"510181";"SUPERINTENDENCIA REGIONAL SUL";"24/12/2025";"06/01/2026";"24/12/2025";"24/12/2026";"02648737000140";"DISPLAY PAINEIS ELETRONICOS LTDA";"26280,0000";"26280,0000";"-3";"";"";"";""
"000212025";"Objeto: O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO E CONSERVAÇÃO DOS SISTEMAS DE ABASTECIMENTO DE ÁGUA (SAA) NAS ALDEIAS ATENDIDAS PELO DISTRITO SANITÁRIO ESPECIAL INDÍGENA (DSEI) TOCANTINS, SEM DEDICAÇÃO EXCLUSIVA DE MÃO DE OBRA, NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA.";"";"Sem Informação";"Não se aplica";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo";"257054";"DISTRITO SANIT.ESP.INDIGENA - TOCANTINS";"24/12/2025";"07/01/2026";"24/12/2025";"23/12/2026";"17306559000147";"HIDRO CLIMA, CONSTRUCOES E MANUTENCOES LTDA";"2230800,0000";"2230800,0000";"900022025";"";"";"";""
"000222021";"Objeto: O OBJETO DA PRESENTE LICITAÇÃO É A CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE ENFERMAGEM(ENFERMEIROS E TÉCNICOS DE ENFERMAGEM) PARA O HOSPITAL CENTRAL DO EXÉRCITO";"";"Pregão";"Não se aplica";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160322";"HOSPITAL CENTRAL DO EXERCITO";"03/10/2022";"13/01/2026";"03/11/2022";"03/05/2026";"04920616000131";"RENACOOP - RENASCER COOPERATIVA DE TRABALHO";"20300000,0400";"18226533,0000";"001082021";"160322";"HOSPITAL CENTRAL DO EXERCITO";"5";"Pregão"
"000022026";"Objeto: O OBJETO DO PRESENTE INSTRUMENTO É A AQUISIÇÃO DE 1 (UM) VEÍCULO PARA RENOVAÇÃO DE FROTA DO CEMADEN, COM A FINALIDADE DE ATENDER À DEMANDA DE TRANSPORTE INSTITUCIONAL, NAS CONDIÇÕES ESTABELECIDAS NO ANEXO I - TERMO DE REFERÊNCIA DO EDITAL DE PREGÃO ELETRÔNICO 01/2025.";"";"Sem Informação";"Não se aplica";"24000";"Ministério da Ciência, Tecnologia e Inovaç";"24000";"Ministério da Ciência, Tecnologia e Inovaç";"240224";"CENTRO NAC.DE MONIT.E ALERT.DE DESASTRES NATU";"07/01/2026";"08/01/2026";"07/01/2026";"07/01/2027";"10459491000197";"LR COMERCIO DE VEICULOS LTDA";"117900,0000";"117900,0000";"900012025";"";"";"";""
"002392025";"Objeto: O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE SERVIÇOS COMUNS DE CONTROLE DE VETORES E PRAGAS URBANAS (DEDETIZAÇÃO, DESINSETIZAÇÃO, DESRATIZAÇÃO E DESCUPINIZAÇÃO), PARA ATENDER AS NECESSIDADES DO INSTITUTO FEDERAL CATARINENSE - CAMPUS SÃO BENTO DO SUL, QUE SERÃO PRESTADOS NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA, ANEXO DO EDITAL.";"";"Sem Informação";"Não se aplica";"26000";"Ministério da Educação";"26422";"Instituto Federal de Educação, Ciência e T";"158125";"INSTITUTO FEDERAL CATARINENSE - REITORIA";"09/01/2026";"12/01/2026";"12/01/2026";"12/01/2031";"18850814000180";"VALTER JOSE DUARTE IMUNIZACAO E CONTROLE DE PRAGAS URBANAS";"60774,0000";"60774,0000";"-3";"";"";"";""
"000692025";"Objeto: EMISSÃO DE LAUDO COM LEVANTAMENTO RADIOMÉTRICO";"";"Sem Informação";"Não se aplica";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"742050";"CENTRO DE INTEND. TECNOL. DA MARINHA EM SP";"09/01/2026";"13/01/2026";"09/01/2026";"09/01/2027";"19222601000177";"DA VINCI SERVICOS DE PROTECAO RADIOLOGICA LTDA";"3900,0000";"3900,0000";"-3";"";"";"";""
"000052026";"Objeto: CONTRATAÇÃO DE BECLOMETASONA DIPROPIONATO SPRAY NASAL, 50MCG/DOSE, FRASCO DOSEADOR COM AEROGADOR NASAL";"";"Sem Informação";"Não se aplica";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo";"250005";"DEPARTAMENTO DE LOGISTICA EM SAUDE - DLOG";"09/01/2026";"12/01/2026";"09/01/2026";"09/01/2027";"04307650002502";"ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA.";"57874,0000";"57874,0000";"-3";"";"";"";""
"001632025";"Objeto: CONTRATAÇÃO DE SERVIÇOS CONTÍNUOS DE IMPRESSÃO GRÁFICA E DIAGRAMAÇÃO COM VISTAS À CONFECÇÃO DE LIVROS, LIVRETOS, MANUAIS, CARTILHAS, CARTAZES, FOLDERS, BANNERS E DEMAIS SERVIÇOS PARA ATENDER ÀS NECESSIDADES DESTE CENTRO DE MEDICINA AEROESPACIAL";"";"Sem Informação";"Não se aplica";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120645";"GRUPAMENTO DE APOIO DO GALEAO";"08/12/2025";"08/01/2026";"08/12/2025";"08/12/2026";"43438620000110";"OMEGA Z SERVICOS E NEGOCIOS COMERCIAIS LTDA";"99225,2000";"99225,2000";"-3";"";"";"";""
"001442025";"Objeto: CONTRATAÇÃO DE INSUMO FARMACEUTICO ATIVO DE DOLUTEGRAVIR.";"";"Sem Informação";"Não se aplica";"36000";"Ministério da Saúde";"36201";"Fundação Oswaldo Cruz";"254446";"INSTITUTO DE TECNOLOGIA EM FARMACOS";"19/12/2025";"05/01/2026";"19/12/2025";"16/08/2026";"EX2548288";"GLAXOSMITHKLINE";"54004139,2800";"54004139,2800";"-3";"";"";"";""
"000102025";"Objeto: COMCONTRATACAO DE SERVICO DE REFORMA E REESTRUTURACAO DO SETOR DE SUINOCULTURA DO CAMPUS VITORIA DE SANTO ANTAO. CONCORRENCIA Nº 9001/2025, UASG 158465, PROCESSO Nº 23298.018147/2025-85.";"";"Sem Informação";"Não se aplica";"26000";"Ministério da Educação";"26418";"Instituto Federal de Educação, Ciência e T";"158465";"IFPE - CAMPUS VITORIA DE SANTO ANTAO";"30/12/2025";"02/01/2026";"30/12/2025";"30/12/2026";"12262916000107";"I NOVA SERVICOS E DISTRIBUIDORA LTDA";"344249,4400";"300000,0000";"-3";"";"";"";""
"001772025";"Objeto: Aquisição de insumo de Pesquisa Clínica Imuno-Hematológica para o Serviço de Hemoterapia e a rotina Hemoterápica do Laboratório de Análises Clínicas do Hospital Naval Marcílio Dias, nas condições estabelecidas no Termo de Referência.";"";"Sem Informação";"Não se aplica";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"765720";"HOSPITAL NAVAL MARCILIO DIAS";"30/12/2025";"06/01/2026";"30/12/2025";"30/12/2030";"47218871000140";"ALLOS SOLUCOES EM SAUDE LTDA";"537500,0000";"537500,0000";"900452024";"";"";"";""
"000372025";"Objeto: CONTRATAÇÃO DE SERVIÇOS COMUNS DE COLETA,TRANSPORTE E DESTINAÇÃO FINAL DE RESÍDUOS QUÍMICOS (SÓLIDOS, LÍQUIDOS, PASTOSOS) PERIGOSOS DIVERSOS, GERADOS PELO GRUPO DE SAÚDE DE SÃO JOSÉ DOS CAMPOS";"";"Sem Informação";"Não se aplica";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120016";"GRUPAMENTO DE APOIO DE S J CAMPOS";"06/01/2026";"08/01/2026";"06/01/2026";"06/01/2027";"41667565000104";"EXODO SOLUCOES AMBIENTAIS E BENEFICIAMENTO DE RESIDUOS LTDA";"60772,8000";"60772,8000";"-3";"";"";"";""
"200022025";"Objeto: SERVIÇOS MÉDICOS VOLTADOS PARA AS TERAPIAS PARA O PÚBLICO NEURODIVERGENTE.";"";"Sem Informação";"Não se aplica";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120630";"GRUPAMENTO DE APOIO DE MANAUS";"10/12/2025";"05/01/2026";"10/12/2025";"10/12/2035";"13350311000122";"CONTRATADO : D M BURLAMAQUI GOMES - ME    -";"600000,0000";"600000,0000";"-3";"";"";"";""
"001502025";"Objeto: SERVIÇOS CONTÍNUOS DE TRANSPORTE RODOVIÁRIO INSTITUCIONAL, ENVOLVENDO VEÍCULOS, MOTORISTAS E DEMAIS INSUMOS, PARA ATENDIMENTO DAS DEMANDAS DA GERÊNCIA REGIONAL DA ANATEL NO CEARÁ (GR09), A SEREM EXECUTADOS COM REGIME DE DEDICAÇÃO EXCLUSIVA DE MÃO DE OBRA, NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA.";"";"Sem Informação";"Não se aplica";"41000";"Ministério das Comunicações";"41231";"Agêncial Nacional de Telecomunicações";"413010";"AGENCIA NACIONAL DE TELECOMUNICACOES-CE";"05/01/2026";"06/01/2026";"05/01/2026";"05/09/2027";"27326594000181";"KING AUTOMOTORES LTDA";"1523000,0000";"1523000,0000";"-3";"";"";"";""
"000012026";"Objeto: O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE SERVIÇOS DE DE SERVIÇO EXTERNO PARA A REALIZAÇÃO DAS ETAPAS PRÉ-ANALÍTICAS E REAÇÕES DE IMUNO-HISTOQUÍMICA (IHQ) EM AMOSTRAS DE BIÓPSIAS E PEÇAS CIRÚRGICAS PROCESSADAS PELA UNIDADE DE ANATOMIA PATOLÓGICA (UAPAT) DO HOSPITAL UNIVERSITÁRIO ONOFRE LOPES (HUOL), FILIAL DA EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES (EBSERH) PELO PERÍODO DE 12 (DOZE) MESES, NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA.";"";"Sem Informação";"Não se aplica";"26000";"Ministério da Educação";"26443";"Empresa Brasileira de Serviços Hospitalares";"155013";"HOSPITAL UNIVERSITARIO ONOFRE LOPES";"18/12/2025";"08/01/2026";"05/01/2026";"05/01/2027";"08428765000139";"LIGA NORTE RIOGRANDENSE CONTRA O CANCER";"458736,0000";"458736,0000";"-3";"";"";"";""
"000652025";"Objeto: AQUISIÇÃO DE MOTOS AQUÁTICAS DO TIPO JET SKI, UTVS (UTILITY TASK VEHICLE), ATVS (ALL-TERRAIN VEHICLE) E CARRETAS RODOVIÁRIAS, DESTINADAS AO TRANSPORTE DE BRIGADISTAS. ESSAS AQUISIÇÕES VISAM APOIAR AS ATIVIDADES DE PREVENÇÃO E COMBATE A INCÊNDIOS FLORESTAIS NO BRASIL.";"";"Sem Informação";"Não se aplica";"44000";"Ministério do Meio Ambiente e Mudança do Cl";"20701";"Instituto Brasileiro do Meio Ambiente e dos R";"193099";"IBAMA-INST.BRAS.DO MEIO AMB.E DOS REC.NAT.REN";"31/12/2025";"02/01/2026";"31/12/2025";"31/12/2026";"00070349000108";"TECMIN-COMERCIO E TRANSPORTES, EXPORTACOES E IMPORTACOES LTDA";"905599,0000";"905599,0000";"900332024";"";"";"";""
"000872025";"Objeto: APOIO AO PROJETO WORKSHOP EM MEIO DIGITAL: 'IFRS SOCIETÁRIO E TRIBUTÁRIO'. CUSTO OPERACIONAL R$ 3.400,00. COORDENADOR: JORGE VIEIRA DA COSTA JUNIOR - SIAPE 1092138. FISCAL: MARCIO MARVILA PIMENTA - SIAPE 2253733";"";"Sem Informação";"Não se aplica";"26000";"Ministério da Educação";"26236";"Universidade Federal Fluminense";"150123";"COORD. DE PROJ. C/A FUND. DE APOIO";"08/01/2026";"09/01/2026";"08/01/2026";"31/05/2026";"03438229000109";"FUNDACAO EUCLIDES DA CUNHA DE APOIO INSTITUCIONAL A UFF";"34000,0000";"34000,0000";"-3";"";"";"";""
"001052026";"Objeto: APOIO AO PROJETO DE PRESERVAÇÃO DO ACERVO FÍLMICO DO ARQUIVO-MUSEU DE LITERATURA BRASILEIRA DA FUNDAÇÃO CASA DE RUI BARBOSA (AMLB-FCRB). CUSTO OPERACIONAL R$ 3.950,00. COORDENADOR: RAFAEL DE LUNA FREIRE - SIAPE 2576357. FISCAL: INDIA MARA MARTINS - SIAPE 1735261";"";"Sem Informação";"Não se aplica";"26000";"Ministério da Educação";"26236";"Universidade Federal Fluminense";"150123";"COORD. DE PROJ. C/A FUND. DE APOIO";"02/01/2026";"05/01/2026";"02/01/2026";"31/12/2026";"03438229000109";"FUNDACAO EUCLIDES DA CUNHA DE APOIO INSTITUCIONAL A UFF";"39500,0000";"39500,0000";"-3";"";"";"";""
"001112025";"Objeto: APOIO AO PROJETO REPARAÇÃO SIMBÓLICA E POLÍTICAS DE MEMÓRIA PARA FAMILIARES DE VÍTIMAS DE VIOLÊNCIA DE ESTADO. CUSTO OPERACIONAL R$ 12.320,00. COORDENADOR: CAROLINA CHRISTOPH GRILLO - SIAPE 1059170. FISCAL: CRISTIANO FONSECA MONTEIRO - SIAPE 1553028";"";"Sem Informação";"Não se aplica";"26000";"Ministério da Educação";"26236";"Universidade Federal Fluminense";"150123";"COORD. DE PROJ. C/A FUND. DE APOIO";"02/01/2026";"05/01/2026";"02/01/2026";"30/09/2026";"03438229000109";"FUNDACAO EUCLIDES DA CUNHA DE APOIO INSTITUCIONAL A UFF";"176000,0000";"176000,0000";"-3";"";"";"";""
"001062025";"Objeto: APOIO AO PROJETO NÚCLEO DE DIAGNÓSTICO AVÍCOLA DA UFF. CUSTO OPERACIONAL R$ 8.000,00. COORDENADOR: DAYSE LIMA DA COSTA ABREU - SIAPE 3412886. FISCAL FLAVIO FERNANDO BATISTA MOUTINHO - SIAPE 2581086";"";"Sem Informação";"Não se aplica";"26000";"Ministério da Educação";"26236";"Universidade Federal Fluminense";"150123";"COORD. DE PROJ. C/A FUND. DE APOIO";"02/01/2026";"05/01/2026";"02/01/2026";"31/12/2030";"03438229000109";"FUNDACAO EUCLIDES DA CUNHA DE APOIO INSTITUCIONAL A UFF";"80000,0000";"80000,0000";"-3";"";"";"";""
"001092025";"Objeto: APOIO AO PROJETO CURSO DE ATUALIZAÇÃO EM DENTÍSTICA. CUSTO OPERACIONAL R$ 15.150,24. COORDENADOR: JAIME DUTRA NORONHA FILHO - SIAPE 2643147. FISCAL: ALEXANDRE BARBOSA ELIAS - SIAPE 5181849";"";"Sem Informação";"Não se aplica";"26000";"Ministério da Educação";"26236";"Universidade Federal Fluminense";"150123";"COORD. DE PROJ. C/A FUND. DE APOIO";"08/01/2026";"09/01/2026";"08/01/2026";"31/10/2026";"03438229000109";"FUNDACAO EUCLIDES DA CUNHA DE APOIO INSTITUCIONAL A UFF";"151200,0000";"151200,0000";"-3";"";"";"";""
"001082025";"Objeto: APOIO AO PROJETO AÇÕES INTEGRADAS DE APOIO TÉCNICO-OPERACIONAL ÀS POLÍTICAS PÚBLICAS DO MINISTÉRIO DA AGRICULTURA E PECUÁRIA. CUSTO OPERACIONAL R$ 200.000,00. COORDENADOR: OSIRIS RICARDO BEZERRA MARQUES - SIAPE 3353922. FISCAL: MARCELLO DE BARROS TOME MACHADO - SIAPE 2504451";"";"Sem Informação";"Não se aplica";"26000";"Ministério da Educação";"26236";"Universidade Federal Fluminense";"150123";"COORD. DE PROJ. C/A FUND. DE APOIO";"07/01/2026";"08/01/2026";"07/01/2026";"31/12/2026";"03438229000109";"FUNDACAO EUCLIDES DA CUNHA DE APOIO INSTITUCIONAL A UFF";"2300000,0000";"2300000,0000";"-3";"";"";"";""
"003402025";"Objeto: CONTRATAÇÃO DE FUNDAÇÃO DE APOIO A UFMA OBJETIVANDO A PRESTAÇÃO DE SERVIÇOS DE APOIO TÉCNICO E ESTRUTURAL À EXECUÇÃO DO PROJETO DE OFERTA REGULAR DE CURSOS DE ESPECIALIZAÇÃO LATO SENSU 'COMANDO E ESTADO MAIOR/GESTÃO DA SEGURANÇA PÚBLICA E DEFESA SOCIAL' DESTINADO A OFICIAIS MAJORES E TENENTES CORONÉIS DO CORPO DE BOMBEIROS MILITAR DO MARANHÃO'.";"";"Sem Informação";"Não se aplica";"26000";"Ministério da Educação";"26272";"Fundação Universidade do Maranhão";"154041";"FUNDACAO UNIVERSIDADE FEDERAL DO MARANHAO";"09/01/2026";"13/01/2026";"13/01/2026";"27/03/2027";"07060718000112";"FUNDACAO SOUSANDRADE DE APOIO AO DESENVOL DA UFMA";"524790,0000";"524790,0000";"-3";"";"";"";""
"000012026";"Objeto: CONTRATAÇÃO DE SERVIÇOS ESPECIAIS DE ENGENHARIA DE PAISAGISMO E SINALIZAÇÃO DO FORTE MARECHAL MOURA E TRILHAS, SITUADO NA PRAIA DE NAUFRAGADOS, FLORIANÓPOLIS/SC, NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA E SEUS ANEXOS.";"";"Sem Informação";"Não se aplica";"42000";"Ministério da Cultura";"20411";"Instituto do Patrimônio Histórico e Artíst";"343011";"SUPERINTENDENCIA DO IPHAN S.CATARINA,IPHAN-SC";"06/01/2026";"08/01/2026";"06/01/2026";"06/08/2026";"16882605000193";"F2 ADMINISTRACAO E CONSTRUCAO LTDA";"2492102,4500";"2492102,4500";"-3";"";"";"";""
"000022026";"Objeto: O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE AQUISIÇÃO DE UMA (01) AMBULANCHA PARA ATENDER AS NECESSIDADES DO DISTRITO SANITÁRIO ESPECIAL INDÍGENA - PARINTINS";"";"Sem Informação";"Não se aplica";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo";"257030";"DISTRITO SANIT.ESP.INDIGENA - PARINTINS";"06/01/2026";"08/01/2026";"06/01/2026";"06/01/2027";"02450409000135";"INDRA INDUSTRIA E COMERCIO NAVAL LTDA";"230000,0000";"230000,0000";"-3";"";"";"";""
"000782025";"Objeto: CONTRATAÇÃO DE SERVIÇOS COMUNS DE FILTRAGEM E FORNECIMENTO DE ÓLEO MINERAL ISOLANTE NAFTÊNICO TIPO A";"";"Sem Informação";"Não se aplica";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"742050";"CENTRO DE INTEND. TECNOL. DA MARINHA EM SP";"09/01/2026";"13/01/2026";"09/01/2026";"29/05/2026";"20901341000145";"TRAFOCARE LTDA";"102300,0000";"102300,0000";"-3";"";"";"";""
