"Número do Contrato";"Objeto";"Fundamento Legal";"Modalidade Compra";"Situação Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Data Assinatura Contrato";"Data Publicação DOU";"Data Início Vigência";"Data Fim Vigência";"Código Contratado";"Nome Contratado";"Valor Inicial Compra";"Valor Final Compra";"Número Licitação";"Código UG Licitação";"Nome UG Licitação";"Código Modalidade Compra Licitação";"Modalidade Compra Licitação"
"002092025";"Objeto: O OBJETO DO PRESENTE INSTRUMENTO É A AQUISIÇÃO DE APARELHOS CELULARES DO TIPO SMARTPHONE 5G, POR MEIO DE REGISTRO DE PREÇO, NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA. (28344957)";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30911";"Fundo Nacional de Segurança Pública";"200331";"FUNDO NACIONAL DE SEGURANCA PUBLICA - FNSP";"30/12/2025";"06/01/2026";"07/01/2026";"06/01/2027";"47010717000188";"RODRIGO VIEIRA CAMPOS 08235498600";"112648,7600";"112648,7600";"900152024";"";"";"";""
"002652025";"Objeto: É OBJETO DESTA CONTRATAÇÃO A AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR PARA ALIMENTAÇÃO ESCOLAR, PARA ALUNOS DA REDE DE EDUCAÇÃO BÁSICA PÚBLICA, VERBA FNDE / PNAE, ANO LETIVO 2025 - 2026, DESCRITOS NOS ITENS ENUMERADOS NA CLÁUSULA SEGUNDA, TODOS DE ACORDO COM A CHAMADA PÚBLICA Nº. 02/2025, O QUAL FICA FAZENDO PARTE INTEGRANTE DO PRESENTE CONTRATO, INDEPENDENTEMENTE DE ANEXAÇÃO OU TRANSCRIÇÃO";"";"Sem Informação";"Não se aplica";"26000";"Ministério da Educação";"26431";"Instituto Federal de Educação, Ciência e T";"158146";"INST.FED.DE EDUC.,CIENC.E TEC.DO PIAUI";"29/12/2025";"07/01/2026";"29/12/2025";"29/12/2026";"34756965334";"MARIA ALVES DA SILVA";"3098,0800";"3098,0800";"-3";"";"";"";""
"002892025";"Objeto: PRESTAÇÃO DE SERVIÇOS DE ASSISTÊNCIA MÉDICO-HOSPITALAR, EM COMPLEMENTAÇÃO AO ATENDIMENTO DOS BENEFICIÁRIOS E DEPENDENTES LEGAIS DO SAMMED/FUSEX. CONFORME RATIFICAÇÃO DO EDITAL DE CREDENCIAMENTO 01-2024 DO DIA 06 DE JANEIRO DE 2025.";"";"Sem Informação";"Não se aplica";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160020";"HOSPITAL MILITAR DE AREA DE MANAUS";"15/12/2025";"12/01/2026";"15/12/2025";"14/12/2026";"84490648000183";"CENTRO DE DOENCAS RENAIS DO AMAZONAS S/S LTDA";"500000,0000";"500000,0000";"-3";"";"";"";""
"008012026";"Objeto: CONTRATAÇÃO DA FUNDAÇÃO DE APOIO PARA GERIR, ADMINISTRATIVA E FINANCEIRAMENTE AS ATIVIDADES DO PROJETO 'EDUCAÇÃO, LETRAMENTO RACIAL E REFLEXÕES SOBRE QUESTÃO DE GÊNERO E SEXUALIDADE' - CAMPUS TRÊS CORAÇÕES, NAS CONDIÇÕES ESTABELECIDAS DO TERMO DE REFERÊNCIA";"";"Sem Informação";"Não se aplica";"26000";"Ministério da Educação";"26412";"Instituto Federal de Educação, Ciência e T";"158137";"INST.FED.DE EDUC.CIENCIA TEC DO SUL DE MINAS";"08/01/2026";"13/01/2026";"08/01/2026";"08/07/2027";"03049886000156";"FADEMA - FUNDACAO DE APOIO AO DESENVOLVIMENTO DA EXTENSAO, PESQUISA, ENSINO PROF";"100000,0000";"100000,0000";"-3";"";"";"";""
"000102025";"Objeto: CONTRATAÇÃO DE SERVIÇOS COMUNS DE ENTIDADE, SEM FINS LUCRATIVOS, PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS VISANDO A ORGANIZAÇÃO E REALIZAÇÃO DOS JOGOS DOS INSTITUTOS FEDERAIS (JIF) 2026 - ETAPA INSTITUCIONAL";"";"Sem Informação";"Não se aplica";"26000";"Ministério da Educação";"26413";"Instituto Federal de Educação, Ciência e T";"159003";"INST.FED.TRIANG.MINEIRO/CAMPUS PATOS DE MINAS";"31/12/2025";"02/01/2026";"31/12/2025";"31/12/2026";"03049886000156";"FADEMA - FUNDACAO DE APOIO AO DESENVOLVIMENTO DA EXTENSAO, PESQUISA, ENSINO PROF";"250000,0000";"250000,0000";"-3";"";"";"";""
"000552025";"Objeto: CONTRATAÇÃO DE SERVIÇOS DE ENGENHARIA DE ADEQUAÇÃO DA INFRAESTRUTURA DO GSD-YS PARA O SERVIÇO MILITAR FEMININO";"";"Sem Informação";"Não se aplica";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120060";"ACADEMIA DA FORCA AEREA";"15/12/2025";"06/01/2026";"15/12/2025";"10/12/2026";"03914296000144";"M.G. EMPREITEIRA E CONSTRUTORA LTDA";"1443281,8800";"1443281,8800";"-3";"";"";"";""
"000132026";"Objeto: CONTRATAÇÃO DE LINEZOLIDA 2MG/ML";"";"Sem Informação";"Não se aplica";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo";"250005";"DEPARTAMENTO DE LOGISTICA EM SAUDE - DLOG";"09/01/2026";"13/01/2026";"09/01/2026";"09/01/2027";"00358519000146";"RCC - DISTRIBUIDORA DE MEDICAMENTOS, CORRELATOS E PRODUTOS MEDICOS E HOSPITALARE";"25875,0000";"25875,0000";"-3";"";"";"";""
"001592025";"Objeto: CONTRATAÇÃO DE SOLUÇÃO DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO, POR MEIO DO REGISTRO DE PREÇOS, PARA A AQUISIÇÃO DE ESTAÇÕES DE TRABALHO (DESKTOPS), EQUIPAMENTOS MÓVEIS (NOTEBOOKS) E MONITORES SOBRESSALENTES";"";"Sem Informação";"Não se aplica";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo";"250110";"SUBSECRETARIA DE ASSUNTOS ADMINISTRATIVOS/MS";"31/12/2025";"02/01/2026";"31/12/2025";"31/12/2026";"59717553000617";"MULTILASER INDUSTRIAL S.A.";"1278388,0000";"1278388,0000";"900012025";"";"";"";""
"000202025";"Objeto: AQUISIÇÃO DE EQUIPAMENTOS MÓVEIS (NOTEBOOKS)";"";"Sem Informação";"Não se aplica";"40000";"Ministério do Trabalho e Emprego";"37201";"Fundação Jorge Duprat Figueiredo, de Segura";"264001";"FUNDACENTRO - FUND.JORGE DUPRAT/CTN/SEDE - SP";"30/12/2025";"02/01/2026";"30/12/2025";"29/12/2026";"59717553000617";"MULTILASER INDUSTRIAL S.A.";"277356,0000";"277356,0000";"900012025";"";"";"";""
"000172025";"Objeto: O OBJETO DO PRESENTE INSTRUMENTO É A AQUISIÇÃO DE EQUIPAMENTOS MÓVEIS (NOTEBOOKS), ESPECIFICADOS NO ITEM 9 DO TERMO DE REFERÊNCIA N. 32/2024, ANEXO I DO EDITAL DE LICITAÇÃO Nº 1/2025 DO MINISTÉRIO DA GESTÃO E DA INOVAÇÃO EM SERVIÇOS PÚBLICOS.";"";"Sem Informação";"Não se aplica";"37000";"Controladoria-Geral da União";"37000";"Controladoria-Geral da União - Unidades com ";"370003";"COORD-GERAL DE LICITACAO,CONTR.E DOCUMENTACAO";"31/12/2025";"05/01/2026";"31/12/2025";"31/12/2026";"59717553000617";"MULTILASER INDUSTRIAL S.A.";"1594000,0000";"1594000,0000";"900012025";"";"";"";""
"000212025";"Objeto: AQUISIÇÃO DE NOTEBOOKS";"";"Sem Informação";"Não se aplica";"25000";"Ministério da Fazenda";"25203";"Comissão de Valores Mobiliários";"173030";"COMISSAO DE VALORES MOBILIARIOS";"30/12/2025";"06/01/2026";"30/12/2025";"29/12/2026";"59717553000617";"MULTILASER INDUSTRIAL S.A.";"159400,0000";"159400,0000";"900012025";"";"";"";""
"001672025";"Objeto: O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE SOLUÇÃO DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO, POR MEIO DO REGISTRO DE PREÇOS, PARA A AQUISIÇÃO DE ESTAÇÕES DE TRABALHO (DESKTOPS), EQUIPAMENTOS MÓVEIS (NOTEBOOKS) E MONITORES SOBRESSALENTES, CONFORME CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA.";"";"Sem Informação";"Não se aplica";"22000";"Ministério da Agricultura e Pecuária";"22000";"Ministério da Agricultura e Pecuária - Unid";"130005";"COORD.-GERAL DE EXECUCAO ORC.E FIN./DA/MAPA";"31/12/2025";"05/01/2026";"31/12/2025";"31/12/2026";"59717553000617";"MULTILASER INDUSTRIAL S.A.";"570760,0000";"570760,0000";"900012025";"";"";"";""
"000132026";"Objeto: AQUISIÇÃO DE ESTAÇÕES DE TRABALHO (DESKTOPS), EQUIPAMENTOS MÓVEIS (NOTEBOOKS) E MONITORES SOBRESSALENTES - TIC";"";"Sem Informação";"Não se aplica";"26000";"Ministério da Educação";"26235";"Universidade Federal de Goiás";"153052";"UNIVERSIDADE FEDERAL DE GOIAS";"09/01/2026";"12/01/2026";"12/01/2026";"12/01/2027";"59717553000617";"MULTILASER INDUSTRIAL S.A.";"23102,0000";"23102,0000";"900012025";"";"";"";""
"000092025";"Objeto: O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE SOLUÇÃO DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO, POR MEIO DO REGISTRO DE PREÇOS, PARA A AQUISIÇÃO DE EQUIPAMENTOS MÓVEIS (NOTEBOOKS)";"";"Sem Informação";"Não se aplica";"26000";"Ministério da Educação";"26405";"Instituto Federal de Educação, Ciência e T";"158315";"CAMPUS QUIXADA/IFCE";"30/12/2025";"02/01/2026";"30/12/2025";"30/12/2026";"59717553000617";"MULTILASER INDUSTRIAL S.A.";"19128,0000";"19128,0000";"900012025";"";"";"";""
"002092025";"Objeto: AQUISIÇÃO DE NOTEBOOKS";"";"Sem Informação";"Não se aplica";"26000";"Ministério da Educação";"26246";"Universidade Federal de Santa Catarina";"153163";"UNIVERSIDADE FEDERAL DE SANTA CATARINA";"08/01/2026";"09/01/2026";"08/01/2026";"08/01/2027";"59717553000617";"MULTILASER INDUSTRIAL S.A.";"159400,0000";"159400,0000";"900012025";"";"";"";""
"000012026";"Objeto: O PRESENTE INSTRUMENTO TEM POR OBJETO A CONTRATAÇÃO DE PRODUTOS E SERVIÇOS POR MEIO DE PACOTE DE SERVIÇOS DOS CORREIOS MEDIANTE ADESÃO AO TERMO DE CONDIÇÕES COMERCIAIS, QUE PERMITE A COMPRA DE PRODUTOS E ULIZAÇÃO DOS DIVERSOS SERVIÇOS EXCLUSIVOS DOS CORREIOS POR MEIO DOS CANAIS DE ATENDIMENTO DISPONIBILIZADOS. AO CONTRATAR O PACOTE DE SERVIÇOS, A CONTRATANTE SERÁ CATEGORIZADA PELOS CORREIOS, CONFORME CRITÉRIOS DEFINIDOS NO TERMO DE CONDIÇÕES COMERCIAIS DISPONÍVEL NO PORTAL DOS CORREIOS.";"";"Sem Informação";"Não se aplica";"46000";"Ministério da Gestão e da Inovação em Ser";"46000";"Ministério da Gestão e da Inovação em Ser";"170347";"SUPERINTENDENCIA REG. ADM. DO MGI - RORAIMA";"31/12/2025";"06/01/2026";"31/12/2025";"30/12/2030";"34028316805616";"EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS";"55000,0000";"55000,0000";"-3";"";"";"";""
"004872025";"Objeto: CONTRATAÇÃO DA FUNDAÇÃO DE APOIO AO ENSINO, PESQUISA E EXTENSÃO - FEPE COM A FINALIDADE DE DAR APOIO AO PROJETO 'LEVANTAMENTO DOS DADOS DE IMPLEMENTAÇÃO DOS PROGRAMAS E DAS POLÍTICAS PÚBLICAS DA SECRETARIA NACIONAL DE PARADESPORTO'.";"";"Sem Informação";"Não se aplica";"26000";"Ministério da Educação";"26238";"Universidade Federal de Minas Gerais";"153278";"ESCOLA EDUCACAO FISICA FISIOT.TERAP.OCUP/UFMG";"30/12/2025";"01/01/2026";"30/12/2025";"30/06/2027";"16629388000124";"FUNDACAO DE APOIO AO ENSINO PESQUISA E EXTENSAO - FEPE";"180922,5000";"180922,5000";"-3";"";"";"";""
"004882025";"Objeto: CONSTITUI OBJETO DESTE INSTRUMENTO A CONTRATAÇÃO DA FUNDAÇÃO DE APOIO AO ENSINO PESQUISA E EXTENSÃO - FEPE COM A FINALIDADE DE DAR APOIO AO PROJETO DE EXTENSÃO 'VOZES PERIFÉRICAS FORMAÇÃO EM JORNALISMO, PODCAST E AUDIOVISUAL PARA JOVENS DA UFMG'.";"";"Sem Informação";"Não se aplica";"26000";"Ministério da Educação";"26238";"Universidade Federal de Minas Gerais";"153287";"FACULDADE DE FILOSOFIA E CIENC. HUMANAS/UFMG";"30/12/2025";"02/01/2026";"30/12/2025";"30/12/2026";"16629388000124";"FUNDACAO DE APOIO AO ENSINO PESQUISA E EXTENSAO - FEPE";"100000,0000";"100000,0000";"-3";"";"";"";""
"000822025";"Objeto: CONTRATAÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS PRESTADOS POR ENTIDADE PRIVADA SEM FINS LUCRATIVOS, PARA O GERENCIAMENTO ADMINISTRATIVO E FINANCEIRO DO PROJETO 'FACC + LABORATÓRIOS', NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA E PLANO DE TRABALHO DO PROJETO MENCIONADO.";"";"Sem Informação";"Não se aplica";"26000";"Ministério da Educação";"26237";"Universidade Federal de Juiz de Fora";"153061";"UNIVERSIDADE FEDERAL DE JUIZ DE FORA";"30/12/2025";"02/01/2026";"30/12/2025";"30/06/2026";"00703697000167";"FUNDACAO DE APOIO E DESENVOL AO ENS PESQ E EXTENSAO";"35546,7900";"35546,7900";"-3";"";"";"";""
"000802025";"Objeto: CONTRATAÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS, A SEREM PRESTADOS POR ENTIDADE PRIVADA SEM FINS LUCRATIVOS, QUALIFICADA COMO FUNDAÇÃO DE APOIO, ESPECIFICAMENTE A FUNDAÇÃO DE APOIO E DESENVOLVIMENTO AO ENSINO, PESQUISA E EXTENSÃO - FADEPE, PARA O GERENCIAMENTO ADMINISTRATIVO E FINANCEIRO DO PROJETO INSTITUCIONAL - UFJF E FADEPE - POLÍTICA DE INOVAÇÃO: INSTITUTO DE CIÊNCIAS EXATAS, COM VISTAS A APRIMORAR E FOMENTAR A TRANSFERÊNCIA DE TECNOLOGIA, A PRESTAÇÃO DE SERVIÇOS E A INOVAÇÃO NO ÂMBITO DO INSTITUTO DE";"";"Sem Informação";"Não se aplica";"26000";"Ministério da Educação";"26237";"Universidade Federal de Juiz de Fora";"153061";"UNIVERSIDADE FEDERAL DE JUIZ DE FORA";"29/12/2025";"02/01/2026";"29/12/2025";"29/12/2026";"00703697000167";"FUNDACAO DE APOIO E DESENVOL AO ENS PESQ E EXTENSAO";"109836,4100";"109836,4100";"-3";"";"";"";""
"004812025";"Objeto: CONTRATAÇÃO DA FUNDAÇÃO CHRISTIANO OTTONI (FCO), COM A FINALIDADE DE DAR APOIO AO PROJETO 'DEMARCAÇÃO FÍSICA DA TERRA INDÍGENA KAWAHIVA DO RIO PARDO, LOCALIZADA NO NOROESTE DO ESTADO DE MATO GROSSO'.";"";"Sem Informação";"Não se aplica";"26000";"Ministério da Educação";"26238";"Universidade Federal de Minas Gerais";"153293";"INSTITUTO DE GEO-CIENCIAS/UFMG";"30/12/2025";"05/01/2026";"30/12/2025";"30/12/2026";"18218909000186";"FUNDACAO CHRISTIANO OTTONI";"5494180,1200";"5494180,1200";"-3";"";"";"";""
"000042025";"Objeto: O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE SERVIÇOS EMPRESA AGENCIADORA DE PASSAGENS AÉREAS, DEVIDAMENTE CREDENCIADA JUNTO AOS ÓRGÃOS REGULADORES, VISANDO A AQUISIÇÃO DE PASSAGENS AÉREAS NACIONAIS E INTERNACIONAIS, INCLUINDO OS SERVIÇOS DE COTAÇÃO, RESERVA, EMISSÃO, REMARCAÇÃO E CANCELAMENTO DE BILHETES DE PASSAGENS AÉREAS NACIONAIS E INTERNACIONAIS E O SERVIÇO CORRELATO DE SEGURO VIAGEM INTERNACIONAL, PARA ATENDER EVENTUAL NECESSIDADE DA UNIVERSIDADE FEDERAL DA PARAÍBA (UFPB), NAS CONDIÇÕES ESTABE";"";"Pregão - Registro de Preço";"Não se aplica";"26000";"Ministério da Educação";"26240";"Universidade Federal da Paraíba";"153065";"UNIVERSIDADE FEDERAL DA PARAIBA";"28/01/2025";"28/01/2026";"28/01/2025";"28/01/2026";"05917540000158";"DECOLANDO TURISMO E REPRESENTACOES LTDA";"1197904,2500";"1497373,2500";"000372023";"153080";"UNIVERSIDADE FEDERAL DE PERNAMBUCO";"9999";"Pregão - Registro de Preço"
"000522025";"Objeto: CONTRATAÇÃO DE SERVIÇOS CONTINUADOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA, RECARGA E TESTES HIDROSTÁTICOS EM EXTINTORES DE INCÊNDIO E MANGUEIRAS DE COMBATE A INCÊNDIO, PARA ATENDIMENTO DAS DEMANDAS DA SUPERINTENDÊNCIA REGIONAL DE ADMINISTRAÇÃO NO ESTADO DE SERGIPE (SRA/SE) E DE SEUS ÓRGÃOS CLIENTES, PARA O PERÍODO DE 1 (UM) ANO, PODENDO SER PRORROGADO POR ATÉ 10 (DEZ) ANOS, A CRITÉRIO DA ADMINISTRAÇÃO.";"";"Sem Informação";"Não se aplica";"46000";"Ministério da Gestão e da Inovação em Ser";"46000";"Ministério da Gestão e da Inovação em Ser";"170069";"SUPERINTENDENCIA REG. ADM. DO MGI - SERGIPE";"31/12/2025";"08/01/2026";"31/12/2025";"31/12/2026";"08335050000131";"GE EXTINTORES DO NORDESTE LTDA";"6794,0000";"6794,0000";"-3";"";"";"";""
"000212025";"Objeto: SERVIÇOS COMUNS DE ENGENHARIA INERENTES À MANUTENÇÃO PREDIAL COM FORNECIMENTO DE PEÇAS, EQUIPAMENTOS, MATERIAIS E MÃO DE OBRA, NOS IMÓVEIS SOB RESPONSABILIDADE DA PMB, EM BRASÍLIA - DF, NAS ADMINISTRAÇÕES DA SQS 115 E SQS 209.";"";"Sem Informação";"Não se aplica";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160082";"PREFEITURA MILITAR DE BRASILIA";"08/01/2026";"09/01/2026";"08/01/2026";"08/01/2027";"02781246000173";"CONSTRUTORA AZAMBUJA LTDA";"747552,4600";"747552,4600";"900102024";"";"";"";""
